"年次， 年齢（5歳階級）","昭和55年_1980_人        口_総　　数","昭和55年_1980_人        口_男","昭和55年_1980_人        口_女","昭和55年_1980_年齢，男女別割合（％）_総　数","昭和55年_1980_年齢，男女別割合（％）_男","昭和55年_1980_年齢，男女別割合（％）_女","昭和55年_1980_人口性比_","昭和60年_1985_人        口_総　　数","昭和60年_1985_人        口_男","昭和60年_1985_人        口_女","昭和60年_1985_年齢，男女別割合（％）_総　数","昭和60年_1985_年齢，男女別割合（％）_男","昭和60年_1985_年齢，男女別割合（％）_女","昭和60年_1985_人口性比_","平成２年_1990_人        口_総　　数","平成２年_1990_人        口_男","平成２年_1990_人        口_女","平成２年_1990_年齢，男女別割合（％）_総　数","平成２年_1990_年齢，男女別割合（％）_男","平成２年_1990_年齢，男女別割合（％）_女","平成２年_1990_人口性比_","平成7年_1995_人        口_総　　数","平成7年_1995_人        口_男","平成7年_1995_人        口_女","平成7年_1995_年齢，男女別割合（％）_総　数","平成7年_1995_年齢，男女別割合（％）_男","平成7年_1995_年齢，男女別割合（％）_女","平成7年_1995_人口性比_","平成12年_2000_人        口_総　　数","平成12年_2000_人        口_男","平成12年_2000_人        口_女","平成12年_2000_年齢，男女別割合（％）_総　数","平成12年_2000_年齢，男女別割合（％）_男","平成12年_2000_年齢，男女別割合（％）_女","平成12年_2000_人口性比_","平成17年_2005_人        口_総　　数","平成17年_2005_人        口_男","平成17年_2005_人        口_女","平成17年_2005_年齢，男女別割合（％）_総　数","平成17年_2005_年齢，男女別割合（％）_男","平成17年_2005_年齢，男女別割合（％）_女","平成17年_2005_人口性比_","平成22年_2010_人        口_総　　数","平成22年_2010_人        口_男","平成22年_2010_人        口_女","平成22年_2010_年齢，男女別割合（％）_総　数","平成22年_2010_年齢，男女別割合（％）_男","平成22年_2010_年齢，男女別割合（％）_女","平成22年_2010_人口性比_","平成27年_2015_人        口_総　　数","平成27年_2015_人        口_男","平成27年_2015_人        口_女","平成27年_2015_年齢，男女別割合（％）_総　数","平成27年_2015_年齢，男女別割合（％）_男","平成27年_2015_年齢，男女別割合（％）_女","平成27年_2015_人口性比_"
"  総          数   ","1087012.0","523467.0","563545.0","100.0","48.15650609192907","51.84349390807094","92.8882343024958","1087206.0","520172.0","567034.0","100.0","47.84484265171458","52.15515734828542","91.7355925746957","1074325.0","510777.0","563548.0","100.0","47.54399273962721","52.45600726037279","90.63593518209629","1080435.0","513450.0","566985.0","100.0","47.52252564939122","52.47747435060878","90.55795126855207","1069912.0","506882.0","563030.0","100.0","47.37604588040886","52.62395411959114","90.0275296165391","1035969.0","488022.0","547947.0","100.0","47.107780252111795","52.89221974788821","89.06372331630614","1002198.0","471397.0","530801.0","100.0","47.03631418142922","52.96368581857078","88.80861189033178","963579.0","453216.0","510363.0","100.0","46.984347136913016","53.015652863086984","88.80267574255971"
"    0  ～   4 歳","73060.0","37639.0","35421.0","6.721176951128414","3.462611268320865","3.2585656828075495","106.26182208294514","63444.0","32519.0","30925.0","5.835508634058311","2.9910614915664557","2.8444471424918554","105.15440582053355","55574.0","28532.0","27042.0","5.172922532753124","2.655807134712494","2.5171153980406302","105.50994748909103","50815.0","26165.0","24650.0","4.703198248853472","2.4217097743038685","2.2814884745496027","106.14604462474647","48615.0","24754.0","23861.0","4.54383164222852","2.3136482252746022","2.230183416953918","103.74250869619881","42358.0","21741.0","20617.0","4.0887323848493535","2.0986149199445157","1.9901174649048379","105.45181161177668","37354.0","19135.0","18219.0","3.760126592472097","1.9261664707113983","1.8339601217606984","105.02771831604369","35018.0","17748.0","17270.0","3.651778544836432","1.8508128851949568","1.8009656596414754","102.76780544296467"
"    5  ～   9 ","89112.0","46026.0","43086.0","8.197885579920001","4.234175887662694","3.963709692257307","106.82356217796965","72970.0","37450.0","35520.0","6.711699530723708","3.4446093932520605","3.2670901374716474","105.43355855855856","64465.0","32977.0","31488.0","6.0005119493635535","3.069555302166477","2.9309566471970774","104.7287855691057","58761.0","30216.0","28545.0","5.438642768884755","2.796651348762304","2.641991420122451","105.85391487125591","51936.0","26778.0","25158.0","4.85423100217588","2.502822662050711","2.3514083401251695","106.43930360124014","48931.0","24889.0","24042.0","4.723210829667683","2.4024850164435425","2.320725813224141","103.52300141419184","42341.0","21755.0","20586.0","4.262127752097795","2.1899007875791203","2.072226964518675","105.67861653550956","38506.0","19705.0","18801.0","4.015517295318741","2.0548945178480182","1.9606227774707226","104.80825488005956"
"   10  ～  14 ","81805.0","42149.0","39656.0","7.5256758895026","3.87751009188491","3.6481657976176898","106.28656445430704","88794.0","45855.0","42939.0","8.167173470345086","4.21769195534241","3.9494815150026765","106.7910291343534","72800.0","37414.0","35386.0","6.776347939403812","3.482558816000745","3.293789123403067","105.73108008817047","66084.0","33839.0","32245.0","6.116425328687057","3.1319792490987424","2.984446079588314","104.94340207784151","58945.0","30280.0","28665.0","5.509331608580893","2.8301393011761715","2.6791923074047213","105.63404849119134","51381.0","26488.0","24893.0","4.95970439269901","2.556833264315824","2.402871128383185","106.40742377375165","48310.0","24531.0","23779.0","4.862978949572388","2.4693383691153024","2.393640580457086","103.1624542663695","42888.0","21997.0","20891.0","4.47248495719187","2.293910921547975","2.1785740356438947","105.29414580441339"
"   15  ～  19 ","73128.0","36868.0","36260.0","6.72743263183847","3.391682888505371","3.3357497433331003","101.67677881963597","75120.0","38284.0","36836.0","6.909454142085308","3.5213197866825605","3.3881343554027477","103.93093712672385","79910.0","40817.0","39093.0","7.438158843925255","3.7993158494868875","3.6388429944383685","104.40999667459647","67325.0","34628.0","32697.0","6.231286472578175","3.2050053913470036","3.0262810812311707","105.90574058782151","60715.0","31223.0","29492.0","5.67476577512917","2.9182773910377673","2.7564883840914023","105.86938830869386","53397.0","27498.0","25899.0","5.154304810279072","2.654326529075677","2.4999782812033953","106.17398355148848","46996.0","24343.0","22653.0","4.730709143326515","2.4504139219507484","2.280295221375767","107.46038052355095","45295.0","23044.0","22251.0","4.7234938942362845","2.403095116431856","2.320398777804428","103.56388476922386"
"   20  ～  24 ","59498.0","27808.0","31690.0","5.473536630690369","2.558205429194894","2.9153312014954755","87.7500788892395","59716.0","27289.0","32427.0","5.492611335846196","2.5100119020682374","2.9825994337779593","84.15517932587042","58703.0","26892.0","31811.0","5.464175179764038","2.5031531426709797","2.9610220370930582","84.53679544811543","67526.0","32771.0","34755.0","6.2498900905653745","3.033130174420488","3.216759916144886","94.29146885340238","55488.0","27276.0","28212.0","5.186220922842252","2.549368546198192","2.63685237664406","96.68226286686516","47142.0","22983.0","24159.0","4.5505222646623595","2.2185026772036616","2.332019587458698","95.13224885135975","41014.0","20321.0","20693.0","4.128549340462884","2.0455515469728938","2.08299779348999","98.20229062968153","37816.0","19009.0","18807.0","3.9435620952519996","1.9823136203893923","1.9612484748626073","101.07406816610836"
"   25  ～  29 ","73016.0","35324.0","37692.0","6.71712915772779","3.249642138265263","3.4674870194625265","93.71749973469171","62166.0","29899.0","32267.0","5.717959613909415","2.7500768023723197","2.967882811537096","92.66123283850374","61229.0","28492.0","32737.0","5.699299560188956","2.6520838666139204","3.0472156935750356","87.03302074105753","63167.0","29806.0","33361.0","5.846441479589239","2.7587036702809518","3.0877378093082877","89.34384460897455","69535.0","33825.0","35710.0","6.499132638946007","3.161474962426816","3.33765767651919","94.72136656398767","54445.0","26524.0","27921.0","5.2554661384655335","2.560308271772611","2.6951578666929223","94.99659754306794","46398.0","22539.0","23859.0","4.670513295430752","2.268819758733431","2.4016935366973216","94.46749654218533","42095.0","21022.0","21073.0","4.389788618564442","2.1922350953667107","2.197553523197731","99.75798415033455"
"   30  ～  34 ","90634.0","44576.0","46058.0","8.337902433459796","4.100782696051194","4.2371197374086025","96.78231794693647","72602.0","35379.0","37223.0","6.677851299569723","3.254121114121887","3.423730185447836","95.0460736641324","62248.0","30131.0","32117.0","5.794149815000116","2.8046447769529705","2.9895050380471457","93.81635893763428","64231.0","30351.0","33880.0","5.944920333014018","2.8091463160671397","3.135774016946878","89.58382526564344","63705.0","30237.0","33468.0","5.954228011275694","2.826120279050987","3.1281077322247066","90.3460021513087","67811.0","33071.0","34740.0","6.545659184782557","3.192276988983261","3.3533821957992953","95.19573978123202","53593.0","26471.0","27122.0","5.394776047286959","2.66462255794102","2.730153489345939","97.59973453285156","46856.0","22949.0","23907.0","4.886279499024955","2.3931882410603484","2.4930912579646063","95.9928054544694"
"   35  ～  39 ","80443.0","39359.0","41084.0","7.40037828469235","3.620843192163472","3.7795350925288775","95.80128517184305","90006.0","44194.0","45812.0","8.278651883819625","4.064915020704448","4.2137368631151775","96.46817427748188","72563.0","35463.0","37100.0","6.754287575919764","3.300956414492821","3.4533311614269424","95.58760107816711","64781.0","31645.0","33136.0","5.9958257553670515","2.9289128915668226","3.0669128638002285","95.50036214389183","64771.0","30645.0","34126.0","6.053862373727933","2.8642542564248274","3.1896081173031057","89.79956631307506","62305.0","29546.0","32759.0","6.014176099863993","2.8520158421728836","3.1621602576911085","90.19200830306175","67300.0","33002.0","34298.0","6.77454943709836","3.3220457730032695","3.4525036640950892","96.22135401481135","54178.0","26760.0","27418.0","5.64983888292159","2.7906103678057836","2.8592285151158063","97.60011671164928"
"   40  ～  44","74571.0","36869.0","37702.0","6.860181856318054","3.3917748838099304","3.468406972508123","97.79056813962124","79266.0","38614.0","40652.0","7.290798615901678","3.5516728200543413","3.7391257958473374","94.98671652071239","89080.0","43840.0","45240.0","8.291718055523235","4.080701836036582","4.2110162194866545","96.9053934571176","74044.0","36426.0","37618.0","6.853165623105509","3.371419844784739","3.481745778320769","96.83130416290075","64535.0","31550.0","32985.0","6.0318044848548285","2.9488406523153308","3.0829638325394986","95.64953766863727","63261.0","29724.0","33537.0","6.106456853438664","2.8691978234869966","3.237259029951668","88.6304678414885","61637.0","29309.0","32328.0","6.204500797242668","2.9503011805633848","3.2541996166792826","90.6613462014353","67600.0","33245.0","34355.0","7.049523948567674","3.466884965534502","3.5826389830331724","96.76902925338379"
